date,open,high,low,adj close,close,volume
Dec 29 2023,42675.00,43115.00,42215.00,42679.74,42679.74,6815
Dec 28 2023,43450.00,43895.00,42265.00,42515.00,42515.00,6585
Dec 27 2023,42475.00,43685.00,42150.00,43565.00,43565.00,9099
Dec 26 2023,43740.00,43760.00,41645.00,42150.00,42150.00,11155
Dec 22 2023,44110.00,44640.00,43495.00,43765.00,43765.00,9107
Dec 21 2023,43770.00,44465.00,43470.00,43860.00,43860.00,8472
Dec 20 2023,42455.00,44585.00,42305.00,43630.00,43630.00,10587
Dec 19 2023,42770.00,43670.00,41905.00,42360.00,42360.00,9272
Dec 18 2023,41950.00,42995.00,40705.00,42105.00,42105.00,6931
Dec 15 2023,43285.00,43455.00,41855.00,42440.00,42440.00,6434
Dec 14 2023,43350.00,43710.00,41935.00,43140.00,43140.00,8287
Dec 13 2023,41445.00,43505.00,40800.00,43210.00,43210.00,7734
Dec 12 2023,41530.00,42295.00,40895.00,41455.00,41455.00,6933
Dec 11 2023,44320.00,44320.00,40450.00,41035.00,41035.00,14410
Dec 8 2023,43595.00,45260.00,43515.00,44910.00,44910.00,7011
Dec 7 2023,44220.00,44555.00,43355.00,43700.00,43700.00,7768
Dec 6 2023,44770.00,44775.00,43815.00,44215.00,44215.00,9164
Dec 5 2023,42395.00,44725.00,41810.00,44290.00,44290.00,10616
Dec 4 2023,40480.00,42715.00,40325.00,42280.00,42280.00,13276
Dec 1 2023,38150.00,39640.00,38045.00,39225.00,39225.00,11744
Nov 30 2023,38205.00,38650.00,37870.00,38190.00,38190.00,6891
Nov 29 2023,38585.00,39105.00,38005.00,38065.00,38065.00,9088
Nov 28 2023,37555.00,39250.00,37300.00,38885.00,38885.00,12491
Nov 27 2023,38365.00,38365.00,37100.00,37210.00,37210.00,8695
Nov 24 2023,37540.00,38195.00,36890.00,38122.84,38122.84,10216
Nov 23 2023,37540.00,37705.00,36890.00,37220.00,37220.00,11869
Nov 22 2023,36430.00,37925.00,35600.00,37655.00,37655.00,11869
Nov 21 2023,37525.00,37745.00,36225.00,36920.00,36920.00,17841
Nov 20 2023,37075.00,37865.00,36745.00,37615.00,37615.00,15555
Nov 17 2023,36295.00,37045.00,35945.00,36565.00,36565.00,10400
Nov 16 2023,37955.00,38285.00,35610.00,36040.00,36040.00,11861
Nov 15 2023,35665.00,38130.00,35490.00,37820.00,37820.00,12335
Nov 14 2023,36805.00,36975.00,34820.00,35365.00,35365.00,10502
Nov 13 2023,37510.00,37720.00,36505.00,36915.00,36915.00,6819
Nov 10 2023,36815.00,37875.00,36605.00,37555.00,37555.00,8283
Nov 9 2023,36090.00,38380.00,35865.00,36805.00,36805.00,16525
Nov 8 2023,35760.00,36415.00,35300.00,35895.00,35895.00,7862
Nov 7 2023,35385.00,36340.00,34755.00,36145.00,36145.00,8038
Nov 6 2023,35310.00,35820.00,35030.00,35320.00,35320.00,5080
Nov 3 2023,35200.00,35265.00,34395.00,34805.00,34805.00,6829
Nov 2 2023,35810.00,36575.00,34590.00,35300.00,35300.00,10328
Nov 1 2023,34865.00,35940.00,34310.00,34965.00,34965.00,9752
Oct 31 2023,34775.00,35110.00,34295.00,34905.00,34905.00,5971
Oct 30 2023,34785.00,35175.00,34330.00,34765.00,34765.00,6449
Oct 27 2023,34150.00,34290.00,33835.00,33980.05,33980.05,7077
Oct 26 2023,34685.00,34940.00,33760.00,34065.00,34065.00,11713
Oct 25 2023,34150.00,35245.00,33745.00,34840.00,34840.00,13542
Oct 24 2023,31705.00,35265.00,31705.00,33845.00,33845.00,26556
Oct 23 2023,29860.00,31940.00,29840.00,31485.00,31485.00,15576
Oct 20 2023,28745.00,30465.00,28700.00,29685.00,29685.00,10080
Oct 19 2023,28335.00,29095.00,28175.00,28900.00,28900.00,7780
Oct 18 2023,28590.00,29120.00,28215.00,28320.00,28320.00,4733
Oct 17 2023,28575.00,28805.00,28245.00,28620.00,28620.00,6603
Oct 16 2023,27275.00,30365.00,27145.00,28575.00,28575.00,26787
Oct 13 2023,26795.00,27160.00,26695.00,26840.00,26840.00,4859
Oct 12 2023,26775.00,27025.00,26575.00,26755.00,26755.00,4426
Oct 11 2023,27540.00,27590.00,26575.00,26800.00,26800.00,10160
Oct 10 2023,27720.00,27890.00,27390.00,27490.00,27490.00,6128
Oct 9 2023,28085.00,28145.00,27370.00,27735.00,27735.00,7430
Oct 6 2023,27600.00,28275.00,27290.00,28145.00,28145.00,9349
Oct 5 2023,27855.00,28340.00,27465.00,27605.00,27605.00,10419
Oct 4 2023,27520.00,28015.00,27270.00,27775.00,27775.00,5558
Oct 3 2023,27680.00,27805.00,27290.00,27385.00,27385.00,8348
Oct 2 2023,27190.00,28950.00,27190.00,28150.00,28150.00,16751
Sep 29 2023,27040.00,27225.00,26750.00,26869.69,26869.69,6417
Sep 28 2023,26280.00,27370.00,26280.00,27120.00,27120.00,10622
Sep 27 2023,26150.00,26890.00,26080.00,26250.00,26250.00,12318
Sep 26 2023,26300.00,26430.00,26090.00,26245.00,26245.00,8234
Sep 25 2023,26545.00,26545.00,25985.00,26355.00,26355.00,9696
Sep 22 2023,26600.00,26815.00,26525.00,26545.00,26545.00,3757
Sep 21 2023,27165.00,27230.00,26380.00,26635.00,26635.00,6747
Sep 20 2023,27225.00,27455.00,26845.00,26990.00,26990.00,5569
Sep 19 2023,26885.00,27620.00,26715.00,27270.00,27270.00,8349
Sep 18 2023,26560.00,27550.00,26425.00,26885.00,26885.00,10480
Sep 15 2023,26635.00,26780.00,26265.00,26475.00,26475.00,3990
Sep 14 2023,26330.00,26955.00,26215.00,26765.00,26765.00,5968
Sep 13 2023,26180.00,26520.00,25845.00,26205.00,26205.00,5247
Sep 12 2023,25140.00,26685.00,25100.00,26125.00,26125.00,11268
Sep 11 2023,25930.00,26120.00,24925.00,25030.00,25030.00,8627
Sep 8 2023,26210.00,26560.00,25690.00,26005.00,26005.00,6232
Sep 7 2023,25795.00,26090.00,25630.00,25980.00,25980.00,3776
Sep 6 2023,25795.00,26140.00,25335.00,25705.00,25705.00,5237
Sep 5 2023,25985.00,26170.00,25580.00,25735.00,25735.00,4758
Sep 1 2023,26070.00,26225.00,25400.00,25700.00,25700.00,6918
Aug 31 2023,27385.00,27705.00,26010.00,26240.00,26240.00,10310
Aug 30 2023,27875.00,27970.00,27130.00,27260.00,27260.00,7293
Aug 29 2023,26075.00,28335.00,25980.00,28010.00,28010.00,19905
Aug 28 2023,26210.00,26360.00,25930.00,26090.00,26090.00,3315
Aug 25 2023,26070.00,26190.00,25945.00,26003.36,26003.36,5998
Aug 24 2023,26300.00,26560.00,25805.00,25995.00,25995.00,8638
Aug 23 2023,25595.00,26810.00,25585.00,26640.00,26640.00,12134
Aug 22 2023,26160.00,26165.00,25690.00,25730.00,25730.00,7666
Aug 21 2023,26195.00,26220.00,25795.00,26065.00,26065.00,7374
Aug 18 2023,26475.00,27005.00,25600.00,26020.00,26020.00,11658
Aug 17 2023,28955.00,28990.00,27485.00,27850.00,27850.00,14274
Aug 16 2023,29255.00,29305.00,28855.00,29130.00,29130.00,5150
Aug 15 2023,29460.00,29595.00,29115.00,29225.00,29225.00,4356
Aug 14 2023,29450.00,29810.00,29095.00,29395.00,29395.00,7834
Aug 11 2023,29560.00,29680.00,29310.00,29465.00,29465.00,4910
Aug 10 2023,29635.00,29855.00,29390.00,29495.00,29495.00,4119
Aug 9 2023,30065.00,30275.00,29460.00,29510.00,29510.00,7172
Aug 8 2023,29320.00,30260.00,29235.00,30075.00,30075.00,10861
Aug 7 2023,29125.00,29315.00,28720.00,29255.00,29255.00,6493
Aug 4 2023,29400.00,29490.00,28860.00,29090.00,29090.00,5362
Aug 3 2023,29285.00,29600.00,29060.00,29410.00,29410.00,4673
Aug 2 2023,29385.00,30245.00,28980.00,29280.00,29280.00,10812
Aug 1 2023,29400.00,29520.00,28625.00,29440.00,29440.00,10567
Jul 31 2023,29390.00,29760.00,29255.00,29285.00,29285.00,5498
Jul 28 2023,29200.00,29420.00,29080.00,29397.08,29397.08,6829
Jul 27 2023,29505.00,29575.00,29035.00,29115.00,29115.00,8850
Jul 26 2023,29240.00,29690.00,29075.00,29395.00,29395.00,8174
Jul 25 2023,29145.00,29390.00,29055.00,29180.00,29180.00,8133
Jul 24 2023,29960.00,30135.00,28810.00,29105.00,29105.00,13190
Jul 21 2023,29920.00,30120.00,29735.00,29885.00,29885.00,5304
Jul 20 2023,29955.00,30515.00,29560.00,29765.00,29765.00,9406
Jul 19 2023,29810.00,30275.00,29775.00,30105.00,30105.00,5138
Jul 18 2023,30335.00,30355.00,29535.00,29785.00,29785.00,5773
Jul 17 2023,30415.00,30495.00,29740.00,29990.00,29990.00,6236
Jul 14 2023,31515.00,31910.00,30025.00,30235.00,30235.00,11611
Jul 13 2023,30460.00,32165.00,30360.00,31925.00,31925.00,14992
Jul 12 2023,30705.00,31190.00,30325.00,30395.00,30395.00,10377
Jul 11 2023,30700.00,31000.00,30305.00,30755.00,30755.00,6161
Jul 10 2023,30290.00,31260.00,30075.00,31055.00,31055.00,5866
Jul 7 2023,30370.00,30685.00,29875.00,30370.00,30370.00,6541
Jul 6 2023,30705.00,31860.00,30060.00,30510.00,30510.00,11172
Jul 5 2023,31480.00,31725.00,30420.00,30675.00,30675.00,9567
Jul 3 2023,30850.00,31835.00,30735.00,31700.00,31700.00,6603
Jun 30 2023,30395.00,31255.00,29625.00,30128.51,30128.51,19808
Jun 29 2023,30170.00,30870.00,30055.00,30550.00,30550.00,11871
Jun 28 2023,30785.00,30785.00,29870.00,30110.00,30110.00,11519
Jun 27 2023,30215.00,31115.00,30185.00,30705.00,30705.00,10865
Jun 26 2023,30690.00,30800.00,30000.00,30315.00,30315.00,9077
Jun 23 2023,30175.00,31655.00,29975.00,31120.00,31120.00,12562
Jun 22 2023,30020.00,30685.00,29740.00,30370.00,30370.00,10153
Jun 21 2023,28250.00,30940.00,28250.00,30260.00,30260.00,18504
Jun 20 2023,26485.00,28445.00,26310.00,28180.00,28180.00,17218
Jun 16 2023,25600.00,26600.00,25145.00,26445.00,26445.00,10238
Jun 15 2023,25110.00,25620.00,24745.00,25470.00,25470.00,10605
Jun 14 2023,25890.00,26155.00,24815.00,25900.00,25900.00,5866
Jun 13 2023,26010.00,26555.00,25725.00,25930.00,25930.00,5185
Jun 12 2023,26155.00,26190.00,25670.00,25890.00,25890.00,5095
Jun 9 2023,26710.00,26920.00,26380.00,26475.00,26475.00,4376
Jun 8 2023,26335.00,26955.00,26200.00,26650.00,26650.00,4011
Jun 7 2023,27170.00,27525.00,26330.00,26610.00,26610.00,7113
Jun 6 2023,25665.00,27375.00,25315.00,27265.00,27265.00,14581
Jun 5 2023,27335.00,27615.00,25390.00,25640.00,25640.00,14010
Jun 2 2023,26965.00,27440.00,26560.00,27385.00,27385.00,7219
Jun 1 2023,27185.00,27440.00,26675.00,26925.00,26925.00,5116
May 31 2023,27905.00,28040.00,26910.00,27075.00,27075.00,9363
May 30 2023,27915.00,28665.00,27700.00,28070.00,28070.00,10217
May 26 2023,26500.00,26825.00,26330.00,26750.93,26750.93,5519
May 25 2023,26370.00,26645.00,25805.00,26470.00,26470.00,11838
May 24 2023,27250.00,27265.00,26015.00,26225.00,26225.00,13562
May 23 2023,26915.00,27565.00,26800.00,27200.00,27200.00,9455
May 22 2023,26825.00,27160.00,26540.00,26865.00,26865.00,7447
May 19 2023,26885.00,27235.00,26675.00,26885.00,26885.00,5175
May 18 2023,27390.00,27545.00,26375.00,26780.00,26780.00,7836
May 17 2023,27055.00,27520.00,26540.00,27430.00,27430.00,6683
May 16 2023,27410.00,27420.00,26905.00,26965.00,26965.00,4243
May 15 2023,26885.00,27740.00,26770.00,27475.00,27475.00,5914
May 12 2023,27010.00,27085.00,25840.00,26485.00,26485.00,7783
May 11 2023,27615.00,27810.00,26730.00,26845.00,26845.00,7435
May 10 2023,27660.00,28415.00,26745.00,27775.00,27775.00,11878
May 9 2023,27595.00,27875.00,27400.00,27770.00,27770.00,4968
May 8 2023,29105.00,29110.00,27320.00,27365.00,27365.00,11968
May 5 2023,28940.00,29910.00,28860.00,29765.00,29765.00,8255
May 4 2023,29005.00,29525.00,28775.00,29015.00,29015.00,6574
May 3 2023,28795.00,28955.00,28180.00,28415.00,28415.00,6486
May 2 2023,28030.00,29055.00,27955.00,28850.00,28850.00,7112
May 1 2023,29615.00,29615.00,27710.00,27915.00,27915.00,8811
Apr 28 2023,29655.00,29705.00,28890.00,29177.47,29177.47,6022
Apr 27 2023,28670.00,29920.00,28210.00,29690.00,29690.00,11291
Apr 26 2023,28320.00,30050.00,27250.00,27900.00,27900.00,14869
Apr 25 2023,27450.00,28070.00,27195.00,27605.00,27605.00,7926
Apr 24 2023,27425.00,28010.00,26980.00,27400.00,27400.00,7463
Apr 21 2023,28240.00,28360.00,27195.00,27310.00,27310.00,6273
Apr 20 2023,29195.00,29255.00,27985.00,28095.00,28095.00,7611
Apr 19 2023,30435.00,30520.00,29010.00,29265.00,29265.00,7617
Apr 18 2023,29555.00,30590.00,29145.00,30325.00,30325.00,5579
Apr 17 2023,30585.00,30585.00,29285.00,29550.00,29550.00,6895
Apr 14 2023,30445.00,31200.00,30065.00,30470.00,30470.00,7294
Apr 13 2023,30035.00,30900.00,29940.00,30530.00,30530.00,5866
Apr 12 2023,30365.00,30710.00,29800.00,29925.00,29925.00,5859
Apr 11 2023,29445.00,30775.00,29435.00,30325.00,30325.00,8509
Apr 10 2023,28505.00,29670.00,28265.00,29420.00,29420.00,9746
Apr 6 2023,28350.00,28350.00,27765.00,28140.00,28140.00,1295
Apr 5 2023,28390.00,28985.00,27935.00,28385.00,28385.00,8243
Apr 4 2023,27930.00,28650.00,27855.00,28375.00,28375.00,6996
Apr 3 2023,28540.00,28775.00,27595.00,28265.00,28265.00,7861
Mar 31 2023,28090.00,28625.00,27620.00,28476.50,28476.50,6392
Mar 30 2023,28355.00,29220.00,27680.00,27965.00,27965.00,9730
Mar 29 2023,27170.00,28685.00,27170.00,28440.00,28440.00,9845
Mar 28 2023,27175.00,27545.00,26650.00,27455.00,27455.00,9898
Mar 27 2023,27960.00,28240.00,26520.00,26980.00,26980.00,11152
Mar 24 2023,28385.00,28570.00,27480.00,27915.00,27915.00,5845
Mar 23 2023,27200.00,28935.00,27075.00,28550.00,28550.00,11418
Mar 22 2023,28210.00,29045.00,26700.00,26800.00,26800.00,10975
Mar 21 2023,28150.00,28680.00,27555.00,28310.00,28310.00,6288
Mar 20 2023,28095.00,28715.00,27320.00,27945.00,27945.00,9810
Mar 17 2023,25040.00,27155.00,25000.00,27000.00,27000.00,12866
Mar 16 2023,24610.00,25300.00,24250.00,25090.00,25090.00,6503
Mar 15 2023,24655.00,25440.00,24005.00,24490.00,24490.00,13885
Mar 14 2023,24230.00,26615.00,24030.00,25240.00,25240.00,16272
Mar 13 2023,21250.00,24620.00,21110.00,24405.00,24405.00,28142
Mar 10 2023,20300.00,20330.00,19520.00,19965.00,19965.00,13496
Mar 9 2023,21800.00,21850.00,19960.00,20065.00,20065.00,14035
Mar 8 2023,22100.00,22300.00,21880.00,22115.00,22115.00,6280
Mar 7 2023,22455.00,22600.00,21940.00,22070.00,22070.00,6742
Mar 6 2023,22455.00,22665.00,22300.00,22390.00,22390.00,4800
Mar 3 2023,23560.00,23615.00,22020.00,22320.00,22320.00,12038
Mar 2 2023,23645.00,23925.00,23300.00,23590.00,23590.00,4721
Mar 1 2023,23275.00,24165.00,23140.00,23530.00,23530.00,6343
Feb 28 2023,23585.00,23780.00,23150.00,23410.00,23410.00,4903
Feb 27 2023,23565.00,24060.00,23235.00,23445.00,23445.00,6664
Feb 24 2023,23880.00,24100.00,23560.00,23576.05,23576.05,12099
Feb 23 2023,24100.00,24610.00,23620.00,23920.00,23920.00,11773
Feb 22 2023,24395.00,24495.00,23590.00,23800.00,23800.00,13563
Feb 21 2023,24505.00,25335.00,23905.00,24490.00,24490.00,19029
Feb 17 2023,24080.00,25095.00,23430.00,24870.00,24870.00,12414
Feb 16 2023,24285.00,25345.00,24245.00,24640.00,24640.00,16546
Feb 15 2023,22270.00,24415.00,22100.00,24250.00,24250.00,10953
Feb 14 2023,21700.00,22375.00,21575.00,22335.00,22335.00,8590
Feb 13 2023,21820.00,21930.00,21380.00,21710.00,21710.00,7442
Feb 10 2023,21825.00,21970.00,21505.00,21775.00,21775.00,6154
Feb 9 2023,23015.00,23085.00,21720.00,22010.00,22010.00,10270
Feb 8 2023,23300.00,23540.00,22695.00,22885.00,22885.00,5590
Feb 7 2023,22960.00,23460.00,22725.00,23300.00,23300.00,5725
Feb 6 2023,23100.00,23275.00,22755.00,23110.00,23110.00,4857
Feb 3 2023,23665.00,23890.00,23340.00,23485.00,23485.00,6471
Feb 2 2023,23940.00,24450.00,23550.00,24005.00,24005.00,7693
Feb 1 2023,23335.00,23965.00,22905.00,23755.00,23755.00,5605
Jan 31 2023,22870.00,23410.00,22850.00,23250.00,23250.00,3489
Jan 30 2023,23900.00,24080.00,22715.00,22825.00,22825.00,5865
Jan 27 2023,22955.00,23090.00,22545.00,23052.73,23052.73,7950
Jan 26 2023,23100.00,23285.00,22835.00,23075.00,23075.00,11146
Jan 25 2023,22770.00,23770.00,22345.00,22940.00,22940.00,10974
Jan 24 2023,22990.00,23210.00,22775.00,23065.00,23065.00,7975
Jan 23 2023,22605.00,23240.00,22585.00,23090.00,23090.00,10731
Jan 20 2023,21155.00,22525.00,20935.00,22390.00,22390.00,9472
Jan 19 2023,20905.00,21275.00,20730.00,21200.00,21200.00,5319
Jan 18 2023,21325.00,21795.00,20460.00,20800.00,20800.00,13106
Jan 17 2023,20985.00,21725.00,20690.00,21485.00,21485.00,12709
Jan 13 2023,18945.00,19995.00,18785.00,19550.00,19550.00,7033
Jan 12 2023,17625.00,19200.00,17615.00,19155.00,19155.00,14036
Jan 11 2023,17490.00,17635.00,17330.00,17615.00,17615.00,4674
Jan 10 2023,17180.00,17555.00,17135.00,17535.00,17535.00,5068
Jan 9 2023,16980.00,17440.00,16955.00,17225.00,17225.00,7471
Jan 6 2023,16825.00,17085.00,16645.00,16895.00,16895.00,6144
Jan 5 2023,16810.00,16890.00,16715.00,16840.00,16840.00,3408
Jan 4 2023,16625.00,17015.00,16610.00,16780.00,16780.00,7387
Jan 3 2023,16675.00,16765.00,16525.00,16615.00,16615.00,4086
Dec 30 2022,16615.00,16625.00,16285.00,16498.08,16498.08,6062
Dec 29 2022,16510.00,16640.00,16435.00,16585.00,16585.00,6599
Dec 28 2022,16640.00,16760.00,16420.00,16570.00,16570.00,9933
Dec 27 2022,16825.00,16950.00,16515.00,16595.00,16595.00,7685
Dec 23 2022,16760.00,16910.00,16695.00,16780.00,16780.00,5712
Dec 22 2022,16725.00,16850.00,16460.00,16735.00,16735.00,5529
Dec 21 2022,16870.00,16885.00,16670.00,16735.00,16735.00,2295
Dec 20 2022,16325.00,17095.00,16275.00,16840.00,16840.00,5601
Dec 19 2022,16690.00,16770.00,16395.00,16495.00,16495.00,4393
Dec 16 2022,17340.00,17525.00,16675.00,16775.00,16775.00,7266
Dec 15 2022,17840.00,17875.00,17290.00,17395.00,17395.00,5851
Dec 14 2022,17775.00,18420.00,17680.00,17795.00,17795.00,7805
Dec 13 2022,17170.00,18125.00,17050.00,17745.00,17745.00,9178
Dec 12 2022,17080.00,17220.00,16820.00,17115.00,17115.00,4191
Dec 9 2022,17240.00,17355.00,17005.00,17035.00,17035.00,4444
Dec 8 2022,16760.00,17320.00,16665.00,17185.00,17185.00,7120
Dec 7 2022,16935.00,17090.00,16580.00,16725.00,16725.00,3966
Dec 6 2022,16865.00,17025.00,16800.00,16945.00,16945.00,3720
Dec 5 2022,17020.00,17435.00,16750.00,16825.00,16825.00,6335
Dec 2 2022,16870.00,17055.00,16055.00,16995.00,16995.00,3869
Dec 1 2022,17190.00,17235.00,16760.00,16820.00,16820.00,6039
Nov 30 2022,16235.00,17140.00,16160.00,17080.00,17080.00,8018
Nov 29 2022,15920.00,16410.00,15880.00,16265.00,16265.00,4649
Nov 28 2022,16335.00,16375.00,15630.00,15990.00,15990.00,6804
Nov 25 2022,16470.00,16805.00,16340.00,16512.29,16512.29,3599
Nov 23 2022,16115.00,16705.00,16080.00,16610.00,16610.00,9969
Nov 22 2022,15645.00,16295.00,15515.00,16055.00,16055.00,12763
Nov 21 2022,16155.00,16265.00,15355.00,15690.00,15690.00,12988
Nov 18 2022,16545.00,16880.00,16365.00,16530.00,16530.00,6052
Nov 17 2022,16370.00,16610.00,16115.00,16520.00,16520.00,5977
Nov 16 2022,16715.00,16855.00,16015.00,16285.00,16285.00,7008
Nov 15 2022,16085.00,16990.00,16085.00,16690.00,16690.00,7408
Nov 14 2022,15870.00,16740.00,15250.00,16005.00,16005.00,7191
Nov 11 2022,17460.00,17480.00,15715.00,16050.00,16050.00,12252
Nov 10 2022,15440.00,17935.00,15230.00,17780.00,17780.00,18015
Nov 9 2022,18480.00,18565.00,14925.00,15615.00,15615.00,29101
Nov 8 2022,20500.00,20700.00,16835.00,18080.00,18080.00,44896
Nov 7 2022,21200.00,21215.00,20635.00,20845.00,20845.00,6250
Nov 4 2022,20280.00,21400.00,20185.00,21155.00,21155.00,16426
Nov 3 2022,20165.00,20415.00,20030.00,20285.00,20285.00,7002
Nov 2 2022,20500.00,20870.00,20105.00,20265.00,20265.00,9266
Nov 1 2022,20430.00,20725.00,20320.00,20480.00,20480.00,4663
Oct 31 2022,20715.00,20890.00,20220.00,20380.00,20380.00,7208
Oct 28 2022,20385.00,20560.00,19965.00,20478.44,20478.44,8559
Oct 27 2022,20735.00,20935.00,20245.00,20625.00,20625.00,10277
Oct 26 2022,20215.00,21055.00,20015.00,20780.00,20780.00,16618
Oct 25 2022,19310.00,20445.00,19230.00,20305.00,20305.00,18642
Oct 24 2022,19470.00,19695.00,19130.00,19340.00,19340.00,11740
Oct 21 2022,19050.00,19250.00,18615.00,19195.00,19195.00,10597
Oct 20 2022,19150.00,19340.00,18875.00,19030.00,19030.00,9380
Oct 19 2022,19255.00,19340.00,19035.00,19200.00,19200.00,5612
Oct 18 2022,19525.00,19715.00,19045.00,19180.00,19180.00,8664
Oct 17 2022,19070.00,19680.00,19070.00,19515.00,19515.00,7538
Oct 14 2022,19415.00,19975.00,19065.00,19110.00,19110.00,14027
Oct 13 2022,19150.00,19575.00,17810.00,19360.00,19360.00,23505
Oct 12 2022,18935.00,19145.00,18900.00,19095.00,19095.00,5182
Oct 11 2022,19165.00,19225.00,18760.00,18900.00,18900.00,9226
Oct 10 2022,19390.00,19465.00,19015.00,19125.00,19125.00,7446
Oct 7 2022,19870.00,20080.00,19260.00,19410.00,19410.00,11120
Oct 6 2022,20085.00,20515.00,19870.00,20025.00,20025.00,9200
Oct 5 2022,20385.00,20440.00,19740.00,20140.00,20140.00,9665
Oct 4 2022,19535.00,20535.00,19515.00,20285.00,20285.00,11729
Oct 3 2022,19190.00,19690.00,18785.00,19525.00,19525.00,12200
Sep 30 2022,19510.00,19725.00,19185.00,19698.60,19698.60,12261
Sep 29 2022,19630.00,19700.00,18820.00,19405.00,19405.00,10690
Sep 28 2022,18975.00,19685.00,18440.00,19565.00,19565.00,14508
Sep 27 2022,19060.00,20400.00,18775.00,19045.00,19045.00,18567
Sep 26 2022,18700.00,19300.00,18545.00,19180.00,19180.00,11533
Sep 23 2022,19200.00,19495.00,18455.00,18745.00,18745.00,9164
Sep 22 2022,18510.00,19475.00,18085.00,19295.00,19295.00,9042
Sep 21 2022,18880.00,19885.00,18670.00,18980.00,18980.00,15361
Sep 20 2022,19525.00,19640.00,18690.00,18950.00,18950.00,8868
Sep 19 2022,19490.00,19620.00,18195.00,19480.00,19480.00,12241
Sep 16 2022,19750.00,19865.00,19275.00,19575.00,19575.00,6561
Sep 15 2022,20130.00,20345.00,19450.00,19730.00,19730.00,7042
Sep 14 2022,20110.00,20500.00,19585.00,19925.00,19925.00,7625
Sep 13 2022,22390.00,22875.00,20050.00,20240.00,20240.00,15358
Sep 12 2022,21500.00,22530.00,21500.00,22455.00,22455.00,8764
Sep 9 2022,19010.00,21485.00,19010.00,21345.00,21345.00,16199
Sep 8 2022,19170.00,19400.00,18905.00,19260.00,19260.00,7811
