date,pos,neu,neg
2023-05-17,0.005964871030300856,0.10294729471206665,0.8910878300666809
2023-05-18,0.07246829204306475,0.6676837364341028,0.25984795456047827
2023-05-19,0.3958292779623889,0.5851499475538731,0.019020761438014233
2023-05-21,0.9782754182815552,0.0011179593857377768,0.020606711506843567
2023-05-22,0.00011717534592510977,0.9998720089594523,1.0819466259211671e-05
2023-05-23,0.023825023405311185,0.9006234645843506,0.075551528979895
2023-05-24,0.000395295903018131,0.8484248043252871,0.151179905934791
2023-05-25,0.015955668353823886,0.8678446832825156,0.11619964761878103
2023-05-26,0.34264180795685206,0.5315500471707411,0.12580816352419788
2023-05-27,5.701124609913677e-05,0.9771793484687805,0.022763637825846672
2023-05-28,6.141662510117385e-05,0.7973771502322051,0.20256140796482214
2023-05-29,2.225376742141331e-07,0.9999804894129435,1.93242735046321e-05
2023-05-30,0.26710797022441923,0.7278050666063791,0.0050869834809930126
2023-05-31,0.15540022345357157,0.7996685085818172,0.044931255059236716
2023-06-01,0.27866602171593513,0.715252890685224,0.006081055319040729
2023-06-02,0.2657711385547588,0.6536227194628736,0.08060613692871564
2023-06-04,0.9999202489852905,6.51464142720215e-06,7.31317195459269e-05
2023-06-05,0.03808195740715366,0.522071969543573,0.43984606437075296
2023-06-06,0.10357667739418505,0.6595060495813767,0.23691726276971817
2023-06-07,0.13051052963514018,0.6744723411038649,0.1950171202406068
2023-06-08,0.07437553662101237,0.8112249882645605,0.11439948583899583
2023-06-09,0.165973789217411,0.6428024055709708,0.19122382279682407
2023-06-10,1.2628853255591821e-05,0.07390527427196503,0.9260820746421814
2023-06-11,7.849702342355158e-06,0.9998506307601929,0.0001415334118064493
2023-06-12,0.13597355606333394,0.6994253989279968,0.16460102840839
2023-06-13,0.16760934368414482,0.6533193254851669,0.1790713268185787
2023-06-14,0.17222351718843876,0.6492952469219316,0.17848123648495323
2023-06-15,0.1691607693817356,0.7502813383170794,0.08055789095654166
2023-06-16,0.0024953081413898524,0.6319226367576491,0.3655820511423014
2023-06-17,0.2204471858881334,0.7632488794624805,0.01630393130426455
2023-06-18,0.0012883240697647124,0.8233737915754318,0.17533790921886522
2023-06-19,0.18578478123705366,0.8134557455778122,0.0007594892761062511
2023-06-20,0.36387868936162704,0.615958294475422,0.020163019387062064
2023-06-21,0.40264270719115464,0.55405089924569,0.04330639909852824
2023-06-22,0.14008694782678505,0.8582498320396553,0.0016631999113201346
2023-06-23,0.23247051191603219,0.6210330171451091,0.14649646507777447
2023-06-24,1.127966334024677e-05,0.9996914863586426,0.00029720296151936054
2023-06-25,0.00010373998702561948,0.40031555583921846,0.5995807374323098
2023-06-26,0.1545535191306442,0.507638782922489,0.33780771177877494
2023-06-27,0.14122470865554315,0.5690663967775608,0.289708908072141
2023-06-28,0.03689115715812363,0.8273081117439948,0.13580074022525984
2023-06-29,0.212291213691836,0.679620937835386,0.10808784886248392
2023-06-30,0.00011922523268900967,0.7829230289215118,0.21695774475060803
2023-07-02,2.6104594326170627e-06,0.999996542930603,8.22398874333885e-07
2023-07-03,0.18236955860008533,0.7660510576337071,0.05157936327940537
2023-07-04,0.05483505578342829,0.6924284880515188,0.2527364488050807
2023-07-05,0.1888958678779284,0.665300903274209,0.1458032455922883
2023-07-06,0.05905746194998803,0.8115927195364444,0.12934981677939403
2023-07-07,0.023294884539495797,0.8067734703007672,0.1699316535671187
2023-07-09,5.232070634519914e-07,0.9999969005584717,2.575865664766752e-06
2023-07-10,0.2309448755924932,0.6268912488736597,0.14216389472877508
2023-07-11,0.11752556407451209,0.7684487944340987,0.11402563052565373
2023-07-12,0.14432651729421053,0.77322806407236,0.08244541814117058
2023-07-13,0.35721920795079304,0.4527525498236893,0.19002822915129566
2023-07-14,0.16126680371657542,0.7594668508713767,0.07926633340075284
2023-07-16,0.14306216680337716,0.854678355429704,0.0022594513000220623
2023-07-17,0.07290809984073121,0.7383485119743689,0.18874337378154138
2023-07-18,0.0001057283049026303,0.40903770460136,0.5908565789078466
2023-07-19,0.24026822269988557,0.6635711593472253,0.09616060531915052
2023-07-20,0.00011823697235411958,0.8507952435549149,0.14908650563131282
2023-07-21,0.0005775018562038289,0.7839423964420954,0.21548011046252213
2023-07-23,3.3467734207685375e-05,0.9989139040311178,0.0010526357194369969
2023-07-24,0.001291441218386678,0.8887301853724888,0.10997837304692634
2023-07-25,0.10227836754729612,0.7025678875162901,0.19515374052387166
2023-07-26,0.043387386892893474,0.9302724512184367,0.026340164388838114
2023-07-27,0.042356360345290035,0.7353232838213444,0.2223203058783838
2023-07-28,0.00020045146603801337,0.7779762219681933,0.22182331852726142
2023-07-29,5.2972600315115415e-06,0.9984241724014282,0.0015704929828643799
2023-07-30,0.00015433674070663983,0.9741626262664795,0.025682977641372416
2023-07-31,0.2153996021688944,0.697969478335889,0.08663091711685625
2023-08-01,0.010763487325488838,0.5783842498973868,0.4108522718772379
2023-08-02,0.08258267723555589,0.7443710105590301,0.1730463156707501
2023-08-03,0.07523911988333935,0.7037727448235664,0.2209881406145467
2023-08-04,0.05076841201581026,0.6637628983257028,0.2854687045605715
2023-08-06,0.21955620885563576,0.5205884370952845,0.259855364317616
2023-08-07,0.3014188952240339,0.6149915682616564,0.08358952976870662
2023-08-08,0.06673794468224988,0.799936997493569,0.13332505236884248
2023-08-09,0.0051907147027549175,0.9135392562509992,0.08127002347282541
2023-08-10,0.14729416514392568,0.6114086649275379,0.24129718949021128
2023-08-11,0.06231673348477074,0.6650651708836309,0.27261809591478736
2023-08-12,0.0008365850080735981,0.7773265242576599,0.2218368649482727
2023-08-13,5.781496952295129e-07,0.9999951124191284,4.304878530092537e-06
2023-08-14,0.12994563866567105,0.7038106171614624,0.16624373352396632
2023-08-15,0.004603801662571843,0.8202973467608293,0.17509884594954883
2023-08-16,0.06328973851145747,0.8738209141977222,0.06288933688337295
2023-08-17,0.21606958102889604,0.5837222872056478,0.20020818326297882
2023-08-18,0.0013684545792013328,0.6660964193620852,0.332535144847863
2023-08-20,0.003868643946020711,0.9960963428020477,3.505736253828218e-05
2023-08-21,0.1135283005185812,0.8793404176831245,0.007131251727514609
2023-08-22,0.12773212898974529,0.7397827584029395,0.13248510001925323
2023-08-23,0.000324789043317095,0.570348085675505,0.4293270965382463
2023-08-24,0.03923682038125013,0.7245996477348464,0.23616349736559122
2023-08-25,0.0009669142265920528,0.7905839470680803,0.20844915765046607
2023-08-27,0.002653668634593487,0.9714042544364929,0.025942111387848854
2023-08-28,0.16429414244851395,0.8351919741059343,0.0005138575052114902
2023-08-29,0.22125168076939344,0.5903288503404543,0.18841945798251808
2023-08-30,0.18882357673146544,0.4242588536382755,0.3869175513854657
2023-08-31,0.08334294536295772,0.6661439770777396,0.25051304845600814
2023-09-01,6.540356783564978e-06,0.6675054649822414,0.3324879508606197
